imp_type,pp_coef,random_state,data_split,dataset
shap,0.8571428571428571,9,5,wine
pearson,0.7609803242482487,9,5,wine
spearman,0.7609803242482487,9,5,wine
kendall,0.7609803242482487,9,5,wine
pps,0.5725985015398304,9,5,wine
gini,0.9999532726968529,0,6,wine
mutual_info,0.9999532726968529,0,6,wine
f_test,0.9196528908268619,0,6,wine
pimp,0.9999532726968529,0,6,wine
shap,0.9999532726968529,0,6,wine
pearson,0.7297771350189338,0,6,wine
spearman,0.7297771350189338,0,6,wine
kendall,0.7297771350189338,0,6,wine
pps,0.34077698815862106,0,6,wine
gini,0.9999532726968529,1,6,wine
mutual_info,0.9999532726968529,1,6,wine
f_test,0.8945686900958466,1,6,wine
pimp,0.9999532726968529,1,6,wine
shap,0.9999532726968529,1,6,wine
pearson,0.721566281578049,1,6,wine
spearman,0.721566281578049,1,6,wine
kendall,0.721566281578049,1,6,wine
pps,0.403528535880239,1,6,wine
gini,0.970978059355287,2,6,wine
mutual_info,0.970978059355287,2,6,wine
f_test,0.8628811775146613,2,6,wine
pimp,0.9436021848588114,2,6,wine
shap,0.9729344145729083,2,6,wine
pearson,0.7297771350189338,2,6,wine
spearman,0.7297771350189338,2,6,wine
kendall,0.7297771350189338,2,6,wine
pps,0.3418530351437699,2,6,wine
gini,0.9999532726968529,3,6,wine
mutual_info,0.9999532726968529,3,6,wine
f_test,0.8945686900958466,3,6,wine
pimp,0.9436021848588114,3,6,wine
shap,0.9999532726968529,3,6,wine
pearson,0.7297771350189338,3,6,wine
spearman,0.7297771350189338,3,6,wine
kendall,0.7297771350189338,3,6,wine
pps,0.3391841500987725,3,6,wine
gini,0.9999532726968529,4,6,wine
mutual_info,0.9999532726968529,4,6,wine
f_test,0.8945686900958466,4,6,wine
pimp,0.9999532726968529,4,6,wine
shap,0.9999532726968529,4,6,wine
pearson,0.7543135337140248,4,6,wine
spearman,0.7543135337140248,4,6,wine
kendall,0.7543135337140248,4,6,wine
pps,0.36573167577821,4,6,wine
gini,0.9999532726968529,5,6,wine
mutual_info,0.9999532726968529,5,6,wine
f_test,0.8628811775146613,5,6,wine
pimp,0.9436021848588114,5,6,wine
shap,0.9999532726968529,5,6,wine
pearson,0.7543135337140248,5,6,wine
spearman,0.7543135337140248,5,6,wine
kendall,0.7543135337140248,5,6,wine
pps,0.3643173875597524,5,6,wine
gini,0.9999532726968529,6,6,wine
mutual_info,0.9999532726968529,6,6,wine
f_test,0.8945686900958466,6,6,wine
pimp,0.9436021848588114,6,6,wine
shap,0.9999532726968529,6,6,wine
pearson,0.7297771350189338,6,6,wine
spearman,0.7297771350189338,6,6,wine
kendall,0.7297771350189338,6,6,wine
pps,0.39641583580290235,6,6,wine
gini,0.9999532726968529,7,6,wine
mutual_info,0.9999532726968529,7,6,wine
f_test,0.8703593285553408,7,6,wine
pimp,0.9436021848588114,7,6,wine
shap,0.9436021848588114,7,6,wine
pearson,0.7297771350189338,7,6,wine
spearman,0.7297771350189338,7,6,wine
kendall,0.7297771350189338,7,6,wine
pps,0.3675272323840673,7,6,wine
gini,0.9999532726968529,8,6,wine
mutual_info,0.9999532726968529,8,6,wine
f_test,0.8628811775146613,8,6,wine
pimp,0.9999532726968529,8,6,wine
shap,0.9999532726968529,8,6,wine
pearson,0.7297771350189338,8,6,wine
spearman,0.7297771350189338,8,6,wine
kendall,0.7297771350189338,8,6,wine
pps,0.34077698815862106,8,6,wine
gini,0.9723413376971508,9,6,wine
mutual_info,0.9723413376971508,9,6,wine
f_test,0.9196528908268619,9,6,wine
pimp,0.9436021848588114,9,6,wine
shap,0.9723413376971508,9,6,wine
pearson,0.6966898106098006,9,6,wine
spearman,0.6966898106098006,9,6,wine
kendall,0.6966898106098006,9,6,wine
pps,0.398644778600651,9,6,wine
gini,1.0,0,7,wine
mutual_info,1.0,0,7,wine
f_test,0.9218952321690836,0,7,wine
pimp,0.9135573099358448,0,7,wine
shap,1.0,0,7,wine
pearson,0.7218388337727829,0,7,wine
spearman,0.7218388337727829,0,7,wine
kendall,0.7218388337727829,0,7,wine
pps,0.5955299518441561,0,7,wine
gini,1.0,1,7,wine
mutual_info,1.0,1,7,wine
f_test,0.9218952321690836,1,7,wine
pimp,1.0,1,7,wine
shap,0.9155153343686057,1,7,wine
pearson,0.6965363268763547,1,7,wine
spearman,0.6965363268763547,1,7,wine
kendall,0.6965363268763547,1,7,wine
pps,0.506850658531679,1,7,wine
gini,1.0,2,7,wine
mutual_info,1.0,2,7,wine
