imp_type,random_state,data_split,dataset,max_dropped
f_test,8,0,boston,0.0
pimp,8,0,boston,0.3846153846153846
shap,8,0,boston,0.3846153846153846
pearson,8,0,boston,0.0
spearman,8,0,boston,0.23076923076923073
kendall,8,0,boston,0.23076923076923073
pps,8,0,boston,0.0
gini,9,0,boston,0.23076923076923073
mutual_info,9,0,boston,0.23076923076923073
f_test,9,0,boston,0.0
pimp,9,0,boston,0.23076923076923073
shap,9,0,boston,0.07692307692307687
pearson,9,0,boston,0.0
spearman,9,0,boston,0.0
kendall,9,0,boston,0.0
pps,9,0,boston,0.0
gini,0,6,boston,0.0
mutual_info,0,6,boston,0.0
f_test,0,6,boston,0.0
pimp,0,6,boston,0.0
shap,0,6,boston,0.0
pearson,0,6,boston,0.0
spearman,0,6,boston,0.0
kendall,0,6,boston,0.0
pps,0,6,boston,0.0
gini,1,6,boston,0.3846153846153846
mutual_info,1,6,boston,0.3076923076923077
f_test,1,6,boston,0.0
pimp,1,6,boston,0.3846153846153846
shap,1,6,boston,0.3846153846153846
pearson,1,6,boston,0.0
spearman,1,6,boston,0.3076923076923077
kendall,1,6,boston,0.23076923076923073
pps,1,6,boston,0.07692307692307687
gini,2,6,boston,0.0
mutual_info,2,6,boston,0.15384615384615385
f_test,2,6,boston,0.0
pimp,2,6,boston,0.0
shap,2,6,boston,0.15384615384615385
pearson,2,6,boston,0.0
spearman,2,6,boston,0.15384615384615385
kendall,2,6,boston,0.15384615384615385
pps,2,6,boston,0.07692307692307687
gini,3,6,boston,0.5384615384615384
mutual_info,3,6,boston,0.07692307692307687
f_test,3,6,boston,0.46153846153846156
pimp,3,6,boston,0.3846153846153846
shap,3,6,boston,0.3846153846153846
pearson,3,6,boston,0.46153846153846156
spearman,3,6,boston,0.07692307692307687
kendall,3,6,boston,0.07692307692307687
pps,3,6,boston,0.07692307692307687
gini,4,6,boston,0.0
mutual_info,4,6,boston,0.0
f_test,4,6,boston,0.0
pimp,4,6,boston,0.0
shap,4,6,boston,0.0
pearson,4,6,boston,0.0
spearman,4,6,boston,0.0
kendall,4,6,boston,0.0
pps,4,6,boston,0.0
gini,5,6,boston,0.3076923076923077
mutual_info,5,6,boston,0.3076923076923077
f_test,5,6,boston,0.5384615384615384
