imp_type,random_state,data_split,dataset,max_dropped
pimp,1,4,wine,0.7692307692307692
shap,1,4,wine,0.6923076923076923
pearson,1,4,wine,0.15384615384615385
spearman,1,4,wine,0.07692307692307687
kendall,1,4,wine,0.0
pps,1,4,wine,0.23076923076923073
gini,2,4,wine,0.6923076923076923
mutual_info,2,4,wine,0.6153846153846154
f_test,2,4,wine,0.6923076923076923
pimp,2,4,wine,0.6923076923076923
shap,2,4,wine,0.6923076923076923
pearson,2,4,wine,0.15384615384615385
spearman,2,4,wine,0.07692307692307687
kendall,2,4,wine,0.0
pps,2,4,wine,0.23076923076923073
gini,3,4,wine,0.7692307692307692
mutual_info,3,4,wine,0.6153846153846154
f_test,3,4,wine,0.6923076923076923
pimp,3,4,wine,0.7692307692307692
shap,3,4,wine,0.7692307692307692
pearson,3,4,wine,0.15384615384615385
spearman,3,4,wine,0.07692307692307687
kendall,3,4,wine,0.0
pps,3,4,wine,0.23076923076923073
gini,4,4,wine,0.7692307692307692
mutual_info,4,4,wine,0.6153846153846154
f_test,4,4,wine,0.6923076923076923
pimp,4,4,wine,0.6153846153846154
shap,4,4,wine,0.7692307692307692
pearson,4,4,wine,0.15384615384615385
spearman,4,4,wine,0.07692307692307687
kendall,4,4,wine,0.0
pps,4,4,wine,0.23076923076923073
gini,5,4,wine,0.7692307692307692
mutual_info,5,4,wine,0.5384615384615384
f_test,5,4,wine,0.6923076923076923
pimp,5,4,wine,0.7692307692307692
shap,5,4,wine,0.7692307692307692
pearson,5,4,wine,0.15384615384615385
spearman,5,4,wine,0.07692307692307687
kendall,5,4,wine,0.0
pps,5,4,wine,0.23076923076923073
gini,6,4,wine,0.7692307692307692
mutual_info,6,4,wine,0.6153846153846154
f_test,6,4,wine,0.6923076923076923
pimp,6,4,wine,0.7692307692307692
shap,6,4,wine,0.7692307692307692
pearson,6,4,wine,0.15384615384615385
spearman,6,4,wine,0.07692307692307687
kendall,6,4,wine,0.0
pps,6,4,wine,0.23076923076923073
gini,7,4,wine,0.7692307692307692
mutual_info,7,4,wine,0.6153846153846154
f_test,7,4,wine,0.6923076923076923
pimp,7,4,wine,0.7692307692307692
shap,7,4,wine,0.7692307692307692
pearson,7,4,wine,0.15384615384615385
spearman,7,4,wine,0.07692307692307687
kendall,7,4,wine,0.0
pps,7,4,wine,0.23076923076923073
gini,8,4,wine,0.7692307692307692
mutual_info,8,4,wine,0.6153846153846154
f_test,8,4,wine,0.6923076923076923
pimp,8,4,wine,0.7692307692307692
shap,8,4,wine,0.7692307692307692
pearson,8,4,wine,0.15384615384615385
spearman,8,4,wine,0.07692307692307687
kendall,8,4,wine,0.0
pps,8,4,wine,0.23076923076923073
gini,9,4,wine,0.7692307692307692
mutual_info,9,4,wine,0.6153846153846154
f_test,9,4,wine,0.6923076923076923
pimp,9,4,wine,0.7692307692307692
shap,9,4,wine,0.7692307692307692
pearson,9,4,wine,0.15384615384615385
spearman,9,4,wine,0.07692307692307687
kendall,9,4,wine,0.0
pps,9,4,wine,0.23076923076923073
gini,0,5,wine,0.3846153846153846
mutual_info,0,5,wine,0.3846153846153846
f_test,0,5,wine,0.3846153846153846
pimp,0,5,wine,0.46153846153846156
shap,0,5,wine,0.3846153846153846
pearson,0,5,wine,0.46153846153846156
spearman,0,5,wine,0.5384615384615384
kendall,0,5,wine,0.3846153846153846
pps,0,5,wine,0.07692307692307687
gini,1,5,wine,0.46153846153846156
mutual_info,1,5,wine,0.46153846153846156
f_test,1,5,wine,0.46153846153846156
pimp,1,5,wine,0.23076923076923073
shap,1,5,wine,0.46153846153846156
pearson,1,5,wine,0.23076923076923073
spearman,1,5,wine,0.23076923076923073
kendall,1,5,wine,0.23076923076923073
pps,1,5,wine,0.07692307692307687
gini,2,5,wine,0.3846153846153846
mutual_info,2,5,wine,0.3846153846153846
f_test,2,5,wine,0.3846153846153846
pimp,2,5,wine,0.5384615384615384
shap,2,5,wine,0.3846153846153846
pearson,2,5,wine,0.23076923076923073
spearman,2,5,wine,0.23076923076923073
kendall,2,5,wine,0.23076923076923073
pps,2,5,wine,0.07692307692307687
gini,3,5,wine,0.6153846153846154
mutual_info,3,5,wine,0.6153846153846154
f_test,3,5,wine,0.6153846153846154
pimp,3,5,wine,0.5384615384615384
shap,3,5,wine,0.5384615384615384
pearson,3,5,wine,0.46153846153846156
spearman,3,5,wine,0.46153846153846156
kendall,3,5,wine,0.46153846153846156
pps,3,5,wine,0.07692307692307687
gini,4,5,wine,0.5384615384615384
mutual_info,4,5,wine,0.5384615384615384
f_test,4,5,wine,0.5384615384615384
pimp,4,5,wine,0.6153846153846154
shap,4,5,wine,0.5384615384615384
pearson,4,5,wine,0.46153846153846156
spearman,4,5,wine,0.46153846153846156
kendall,4,5,wine,0.46153846153846156
pps,4,5,wine,0.15384615384615385
gini,5,5,wine,0.3846153846153846
mutual_info,5,5,wine,0.3846153846153846
f_test,5,5,wine,0.3846153846153846
pimp,5,5,wine,0.46153846153846156
shap,5,5,wine,0.3846153846153846
pearson,5,5,wine,0.5384615384615384
spearman,5,5,wine,0.5384615384615384
kendall,5,5,wine,0.46153846153846156
pps,5,5,wine,0.07692307692307687
gini,6,5,wine,0.5384615384615384
mutual_info,6,5,wine,0.5384615384615384
f_test,6,5,wine,0.5384615384615384
pimp,6,5,wine,0.5384615384615384
shap,6,5,wine,0.5384615384615384
pearson,6,5,wine,0.5384615384615384
spearman,6,5,wine,0.3846153846153846
kendall,6,5,wine,0.3846153846153846
pps,6,5,wine,0.15384615384615385
gini,7,5,wine,0.46153846153846156
mutual_info,7,5,wine,0.46153846153846156
f_test,7,5,wine,0.7692307692307692
pimp,7,5,wine,0.46153846153846156
shap,7,5,wine,0.46153846153846156
pearson,7,5,wine,0.46153846153846156
spearman,7,5,wine,0.46153846153846156
kendall,7,5,wine,0.46153846153846156
pps,7,5,wine,0.07692307692307687
gini,8,5,wine,0.3846153846153846
mutual_info,8,5,wine,0.3846153846153846
f_test,8,5,wine,0.3846153846153846
pimp,8,5,wine,0.6153846153846154
shap,8,5,wine,0.3076923076923077
pearson,8,5,wine,0.46153846153846156
