imp_type,max_perc,random_state,data_split,dataset
pps,0.012633903517301759,8,5,breast_cancer
gini,0.0,9,5,breast_cancer
mutual_info,0.0,9,5,breast_cancer
f_test,0.0,9,5,breast_cancer
pimp,0.0,9,5,breast_cancer
shap,0.012379665645546156,9,5,breast_cancer
pearson,0.0,9,5,breast_cancer
spearman,0.0,9,5,breast_cancer
kendall,0.0,9,5,breast_cancer
pps,-0.013381781203470111,9,5,breast_cancer
gini,0.013579656040405785,0,6,breast_cancer
mutual_info,0.0,0,6,breast_cancer
f_test,0.013363399163629053,0,6,breast_cancer
pimp,-0.013124320371570963,0,6,breast_cancer
shap,0.013363399163629053,0,6,breast_cancer
pearson,0.013363399163629053,0,6,breast_cancer
spearman,0.01378617894535794,0,6,breast_cancer
kendall,0.01378617894535794,0,6,breast_cancer
pps,0.026976057658535613,0,6,breast_cancer
gini,0.013027123406374574,1,6,breast_cancer
mutual_info,0.0,1,6,breast_cancer
f_test,0.013027123406374574,1,6,breast_cancer
pimp,-0.01359870476800118,1,6,breast_cancer
shap,0.0,1,6,breast_cancer
pearson,0.013027123406374574,1,6,breast_cancer
spearman,0.0,1,6,breast_cancer
kendall,0.0,1,6,breast_cancer
pps,0.0,1,6,breast_cancer
gini,0.028138110382894377,2,6,breast_cancer
mutual_info,0.02793661166476058,2,6,breast_cancer
f_test,0.028395397445502013,2,6,breast_cancer
pimp,0.02793661166476058,2,6,breast_cancer
shap,0.028138110382894377,2,6,breast_cancer
pearson,0.028395397445502013,2,6,breast_cancer
spearman,0.028138110382894377,2,6,breast_cancer
kendall,0.028138110382894377,2,6,breast_cancer
pps,0.042099872283926976,2,6,breast_cancer
gini,0.04161296404248738,3,6,breast_cancer
mutual_info,0.04161296404248738,3,6,breast_cancer
f_test,0.04161296404248738,3,6,breast_cancer
pimp,0.02787703295991739,3,6,breast_cancer
shap,0.04161296404248738,3,6,breast_cancer
pearson,0.04161296404248738,3,6,breast_cancer
spearman,0.04161296404248738,3,6,breast_cancer
kendall,0.04161296404248738,3,6,breast_cancer
pps,0.05626850937808481,3,6,breast_cancer
gini,0.027428275964664683,4,6,breast_cancer
mutual_info,0.0278569236764461,4,6,breast_cancer
f_test,0.027428275964664683,4,6,breast_cancer
pimp,0.027428275964664683,4,6,breast_cancer
shap,0.027428275964664683,4,6,breast_cancer
pearson,0.027428275964664683,4,6,breast_cancer
spearman,0.013879400827624178,4,6,breast_cancer
kendall,0.013879400827624178,4,6,breast_cancer
pps,0.027428275964664683,4,6,breast_cancer
gini,0.027456647398844014,5,6,breast_cancer
mutual_info,0.013907398122772863,5,6,breast_cancer
f_test,0.027456647398844014,5,6,breast_cancer
pimp,0.013708688397916724,5,6,breast_cancer
shap,0.027456647398844014,5,6,breast_cancer
pearson,0.027456647398844014,5,6,breast_cancer
spearman,0.013907398122772863,5,6,breast_cancer
kendall,0.013907398122772863,5,6,breast_cancer
pps,0.04191301266706682,5,6,breast_cancer
gini,0.05587322332952138,6,6,breast_cancer
mutual_info,0.042099872283926976,6,6,breast_cancer
f_test,0.042099872283926976,6,6,breast_cancer
pimp,0.028395397445502013,6,6,breast_cancer
shap,0.042099872283926976,6,6,breast_cancer
pearson,0.042099872283926976,6,6,breast_cancer
spearman,0.042099872283926976,6,6,breast_cancer
kendall,0.042099872283926976,6,6,breast_cancer
pps,0.04231220635317534,6,6,breast_cancer
gini,0.013363399163629053,7,6,breast_cancer
mutual_info,0.0,7,6,breast_cancer
f_test,0.013363399163629053,7,6,breast_cancer
pimp,-0.013689400155772469,7,6,breast_cancer
shap,0.013363399163629053,7,6,breast_cancer
pearson,0.013363399163629053,7,6,breast_cancer
spearman,0.0,7,6,breast_cancer
kendall,0.0,7,6,breast_cancer
pps,0.01446257237572146,7,6,breast_cancer
gini,0.027456647398844014,8,6,breast_cancer
mutual_info,0.027456647398844014,8,6,breast_cancer
f_test,0.04127569568851763,8,6,breast_cancer
pimp,0.013907398122772863,8,6,breast_cancer
shap,0.027456647398844014,8,6,breast_cancer
pearson,0.04127569568851763,8,6,breast_cancer
spearman,0.027456647398844014,8,6,breast_cancer
