dataset,imp_type,random_state,data_split,fi_order,fi_selected,timings
regr_features_10_samples_1000_seed_0,kendall,0,1,"[1, 0, 5, 3, 9, 4, 7, 6, 8, 2]","[1, 0]","[0.02019913 0.01998737 0.02009719 0.020042   0.0210304  0.02077724
 0.02057625 0.02020892 0.01995286 0.02002758]"
regr_features_10_samples_1000_seed_0,pps,0,1,"[3, 2, 7, 8, 5, 4, 6, 9, 0, 1]","[3, 2]","[0.1136005  0.11906788 0.107466   0.1072187  0.10788466 0.1066731
 0.1148125  0.10721485 0.10681403 0.10691658]"
regr_features_10_samples_1000_seed_0,mutual_info,0,2,"[1, 5, 4, 6, 2, 8, 9, 0, 3, 7]","[1, 5]","[0.03711476 0.03623251 0.03414395 0.03532643 0.03518525 0.03502722
 0.03539996 0.03501775 0.03507553 0.03478606]"
regr_features_10_samples_1000_seed_0,f_test,0,2,"[1, 0, 7, 5, 2, 3, 8, 9, 4, 6]","[1, 0]","[0.00188043 0.0017518  0.00175884 0.00168435 0.00173834 0.00167422
 0.00167927 0.00170001 0.00164775 0.00168403]"
regr_features_10_samples_1000_seed_0,pearson,0,2,"[1, 0, 7, 5, 2, 3, 8, 9, 4, 6]","[1, 0]","[0.00196159 0.00171181 0.00216015 0.00226554 0.00209449 0.00171372
 0.00198097 0.00212906 0.00205866 0.00208511]"
regr_features_10_samples_1000_seed_0,spearman,0,2,"[1, 0, 7, 5, 3, 9, 2, 6, 4, 8]","[1, 0]","[0.00324432 0.00323705 0.00295774 0.00296548 0.00301427 0.00293674
 0.00308509 0.00314132 0.00306486 0.00306634]"
regr_features_10_samples_1000_seed_0,kendall,0,2,"[1, 0, 7, 5, 3, 9, 2, 6, 4, 8]","[1, 0]","[0.02232147 0.02121491 0.01989347 0.02738481 0.02044483 0.01993442
 0.01999805 0.0204306  0.01984835 0.01995883]"
regr_features_10_samples_1000_seed_0,pps,0,2,"[7, 8, 4, 5, 3, 0, 2, 9, 6, 1]","[7, 8]","[0.11384469 0.11574429 0.10837002 0.10870187 0.1077382  0.10800433
 0.10781228 0.10786733 0.1093477  0.10766367]"
regr_features_10_samples_1000_seed_0,mutual_info,0,3,"[1, 4, 9, 2, 7, 8, 0, 3, 5, 6]","[1, 4]","[0.03496343 0.0340493  0.03199787 0.03065649 0.03061632 0.03147523
 0.0306189  0.03066262 0.03027102 0.03054214]"
regr_features_10_samples_1000_seed_0,f_test,0,3,"[1, 0, 5, 3, 6, 9, 2, 8, 7, 4]","[1, 0]","[0.00169962 0.00166056 0.00152798 0.0015384  0.00154686 0.00144907
 0.001424   0.00136231 0.00136784 0.00149672]"
regr_features_10_samples_1000_seed_0,pearson,0,3,"[1, 0, 5, 3, 6, 9, 2, 8, 7, 4]","[1, 0]","[0.00185249 0.00177596 0.00190314 0.00191787 0.00198998 0.00212224
 0.00195979 0.00168852 0.00160761 0.00157386]"
