dataset,imp_type,random_state,data_split,fi_order,fi_selected,timings
classif_features_10_samples_100_seed_0,pearson,0,8,"[1, 4, 7, 9, 6, 2, 5, 8, 0, 3]","[1, 4]","[0.00142367 0.00121951 0.00134123 0.00146631 0.00138131 0.00161465
 0.0017206  0.00162331 0.00153239 0.00136557]"
classif_features_10_samples_100_seed_0,spearman,0,8,"[1, 4, 9, 7, 2, 6, 8, 0, 3, 5]","[1, 4]","[0.00218121 0.00182114 0.00179153 0.00184264 0.00218712 0.00213496
 0.0019481  0.00225724 0.00233678 0.00198697]"
classif_features_10_samples_100_seed_0,kendall,0,8,"[1, 4, 9, 7, 2, 6, 8, 0, 3, 5]","[1, 4]","[0.01476584 0.01464603 0.01443605 0.01455045 0.01438638 0.01452148
 0.01449147 0.01444346 0.01553588 0.01470041]"
classif_features_10_samples_100_seed_0,pps,0,8,"[3, 8, 9, 5, 2, 7, 0, 6, 4, 1]","[3, 8]","[0.09421003 0.08734648 0.10177489 0.10443665 0.09088947 0.0892808
 0.09677159 0.08902538 0.091884   0.09075126]"
classif_features_10_samples_100_seed_0,mutual_info,0,9,"[1, 5, 7, 6, 9, 0, 4, 2, 3, 8]","[1, 5]","[0.02224843 0.01685408 0.01995087 0.01650149 0.01642912 0.01651574
 0.01525921 0.01459694 0.01455611 0.01987276]"
classif_features_10_samples_100_seed_0,f_test,0,9,"[1, 2, 6, 4, 7, 0, 5, 8, 3, 9]","[1, 2]","[0.00179725 0.00153397 0.00168901 0.00161364 0.00168914 0.00147983
 0.00145867 0.00143027 0.00150249 0.00147257]"
classif_features_10_samples_100_seed_0,pearson,0,9,"[1, 2, 6, 4, 7, 0, 5, 8, 3, 9]","[1, 2]","[0.00301062 0.0023731  0.00210243 0.00135061 0.00135336 0.00133471
 0.00130402 0.00128794 0.00138625 0.00123518]"
classif_features_10_samples_100_seed_0,spearman,0,9,"[1, 2, 6, 4, 7, 5, 0, 8, 3, 9]","[1, 2]","[0.00232189 0.00225214 0.00227969 0.00230198 0.00198671 0.00197625
 0.00188505 0.0019398  0.00204779 0.00184802]"
classif_features_10_samples_100_seed_0,kendall,0,9,"[1, 2, 6, 4, 7, 5, 0, 8, 3, 9]","[1, 2]","[0.01491944 0.01448898 0.01433445 0.01436595 0.01432692 0.01439114
 0.01442966 0.01568794 0.01484809 0.0147188 ]"
classif_features_10_samples_100_seed_0,pps,0,9,"[3, 2, 8, 6, 9, 5, 0, 4, 7, 1]","[3, 2]","[0.0916474  0.08670477 0.09357485 0.08702847 0.08641897 0.08575825
 0.08701847 0.08896473 0.09815726 0.09909032]"
classif_features_10_samples_1000_seed_0,mutual_info,0,0,"[1, 9, 8, 6, 2, 7, 4, 0, 5, 3]","[1, 9]","[0.03724464 0.03501916 0.03319452 0.03221546 0.03164998 0.02973304
 0.02989282 0.02799186 0.02838119 0.02835351]"
classif_features_10_samples_1000_seed_0,f_test,0,0,"[1, 0, 8, 5, 6, 7, 3, 4, 9, 2]","[1, 0]","[0.00178844 0.00162462 0.00160523 0.00164709 0.00148188 0.00151496
 0.00160818 0.00150845 0.00143182 0.00163878]"
classif_features_10_samples_1000_seed_0,pearson,0,0,"[1, 0, 8, 5, 6, 7, 3, 4, 9, 2]","[1, 0]","[0.00186857 0.0017966  0.00195294 0.00173732 0.00165849 0.00159904
 0.00158513 0.00153239 0.00148565 0.00142611]"
classif_features_10_samples_1000_seed_0,spearman,0,0,"[1, 0, 8, 4, 3, 7, 6, 5, 9, 2]","[1, 0]","[0.0028582  0.00271595 0.0027227  0.00273159 0.00259732 0.00240133
 0.00243246 0.00257903 0.00243021 0.00236118]"
classif_features_10_samples_1000_seed_0,kendall,0,0,"[1, 0, 8, 4, 3, 7, 6, 5, 9, 2]","[1, 0]","[0.01950448 0.01946263 0.01943562 0.01950295 0.0205091  0.01977518
 0.02016603 0.01960843 0.0194907  0.0194999 ]"
classif_features_10_samples_1000_seed_0,pps,0,0,"[6, 0, 4, 8, 5, 3, 9, 2, 7, 1]","[6, 0]","[0.11660236 0.11422667 0.10971667 0.10835947 0.10820368 0.10757695
 0.11126321 0.11596458 0.12206878 0.11097157]"
classif_features_10_samples_1000_seed_0,mutual_info,0,1,"[1, 7, 9, 0, 2, 3, 4, 5, 6, 8]","[1, 7]","[0.03690522 0.03440083 0.0322922  0.03054793 0.0283959  0.02871084
 0.02879459 0.02785118 0.02833322 0.02814491]"
classif_features_10_samples_1000_seed_0,f_test,0,1,"[1, 8, 5, 0, 6, 2, 3, 9, 7, 4]","[1, 8]","[0.00241528 0.00143774 0.00150025 0.00148028 0.00133387 0.00133276
 0.00136761 0.00130526 0.00143086 0.00145058]"
classif_features_10_samples_1000_seed_0,pearson,0,1,"[1, 8, 5, 0, 6, 2, 3, 9, 7, 4]","[1, 8]","[0.0018442  0.00153349 0.00151309 0.00155715 0.00164933 0.00150317
 0.00151619 0.00187243 0.00155145 0.00147229]"
classif_features_10_samples_1000_seed_0,spearman,0,1,"[1, 8, 5, 0, 6, 2, 3, 7, 4, 9]","[1, 8]","[0.0030876  0.00268552 0.0023387  0.0024106  0.00249928 0.00233158
 0.00231424 0.00272684 0.00245821 0.00230818]"
classif_features_10_samples_1000_seed_0,kendall,0,1,"[1, 8, 5, 0, 6, 2, 3, 7, 4, 9]","[1, 8]","[0.01945087 0.01930043 0.01945798 0.01918824 0.02025654 0.01981518
 0.02022346 0.01944797 0.01933005 0.01916856]"
classif_features_10_samples_1000_seed_0,pps,0,1,"[6, 0, 3, 4, 2, 9, 8, 5, 7, 1]","[6, 0]","[0.11190578 0.1134197  0.11260831 0.113267   0.11395982 0.11277345
 0.11281461 0.11332687 0.11425252 0.11157364]"
classif_features_10_samples_1000_seed_0,mutual_info,0,2,"[1, 5, 7, 9, 0, 2, 8, 3, 6, 4]","[1, 5]","[0.03784083 0.03705328 0.0330527  0.02989379 0.02942373 0.02861093
 0.02840348 0.02914892 0.02997423 0.02837264]"
classif_features_10_samples_1000_seed_0,f_test,0,2,"[1, 3, 8, 5, 7, 0, 9, 6, 4, 2]","[1, 3]","[0.00172779 0.00163521 0.0016742  0.00159065 0.0015954  0.00174717
 0.00149677 0.00140925 0.00138156 0.00136046]"
classif_features_10_samples_1000_seed_0,pearson,0,2,"[1, 3, 8, 5, 7, 0, 9, 6, 4, 2]","[1, 3]","[0.00161534 0.00141064 0.00150666 0.00155802 0.00159841 0.00153167
 0.00175724 0.00177778 0.00168838 0.00173633]"
classif_features_10_samples_1000_seed_0,spearman,0,2,"[1, 3, 8, 0, 7, 5, 6, 4, 9, 2]","[1, 3]","[0.0027022  0.00236791 0.0023494  0.00264819 0.00240859 0.00229466
 0.00256682 0.00240699 0.00226384 0.00227075]"
classif_features_10_samples_1000_seed_0,kendall,0,2,"[1, 3, 8, 0, 7, 5, 6, 4, 9, 2]","[1, 3]","[0.0194308  0.01964997 0.01983059 0.01939329 0.02039706 0.01997352
 0.02051813 0.02238091 0.01974311 0.02016336]"
classif_features_10_samples_1000_seed_0,pps,0,2,"[5, 4, 6, 0, 9, 8, 3, 7, 2, 1]","[5, 4]","[0.11418547 0.11957556 0.11370104 0.112827   0.11324996 0.1136102
 0.11311779 0.10936564 0.1106249  0.111953  ]"
